interview__key	interview__id	Roster_Q3_3__id	Q3_4	Q3_5a	Q3_5b	Q3_5c	Q3_5d	Q3_5e	Q3_5f	Q3_6	Q3_7a	Q3_7b	Q3_7c	Q3_7_dec	Q3_7	Q3_8__1	Q3_8__2	Q3_8__3	Q3_8__4	Q3_8__5	Q3_8__6	Q3_8__7	Q3_8__8	Q3_8__9	Q3_8__10	Q3_9aa	Q3_9ab	Q3_9ac	Q3_9a_dec	Q3_9a	Q3_9ba	Q3_9bb	Q3_9bc	Q3_9b_dec	Q3_9b	Q3_9ca	Q3_9cb	Q3_9cc	Q3_9c_dec	Q3_9c	Q3_9da	Q3_9db	Q3_9dc	Q3_9d_dec	Q3_9d	Q3_9ea	Q3_9eb	Q3_9ec	Q3_9e_dec	Q3_9e	Q3_9fa	Q3_9fb	Q3_9fc	Q3_9f_dec	Q3_9f	Q3_9ga	Q3_9gb	Q3_9gc	Q3_9g_dec	Q3_9g	Q3_9ha	Q3_9hb	Q3_9hc	Q3_9h_dec	Q3_9h	Q3_9ia	Q3_9ib	Q3_9ic	Q3_9i_dec	Q3_9i	Q3_9ja	Q3_9jb	Q3_9jc	Q3_9j_dec	Q3_9j	Q4_5_1__0	Q4_5_1__11	Q4_5_1__12	Q4_5_1__13	Q4_5_1__14	Q4_5_1__15	Q4_5_1__16	Q4_5_1__17	Q4_5_1__18	Q4_5_1__19	Q4_5_1__20	Q4_5_1__21	Q4_5_1__22	Q4_5_1__23	Q4_5_1__24	Q4_5_1__25	Q4_5_1__26	Q4_5_1__27	Q4_5_1__28	Q4_5_1__29	Q4_5_1__30	Q4_5_1__31	Q4_5_1__32	Q4_5_1__33	Q4_5_1__34	Q4_5_1__35	Q4_5_1__36	Q4_5_1__37	Q4_5_1__38	Q4_5_1__39	Q4_5_1__40	Q4_5_1__41	Q4_5_1__42	Q4_5_1__43	Q4_5_1__44	Q4_5_1__45	Q4_5_1__46	Q4_5_1__47	Q4_5_1__48	Q4_5_1__49	Q4_5_1__50	Q4_5_1__51	Q4_5_1__52	Q4_5_1__53	Q4_5_1__54	Q4_5_1__55	Q4_5_1__56	Q4_5_1__57	Q4_5_1__58	Q4_5_1__59	Q4_5_1__60	Q4_5_1__61	Q4_5_1__62	Q4_5_1__63	Q4_5_1__64	Q4_5_1__65	Q4_5_1__66	Q4_5_1__67	Q4_5_1__68	Q4_5_1__69	Q4_5_1__70	Q4_5_1__71	Q4_5_1__99	Q6_1__0	Q6_1__11	Q6_1__12	Q6_1__13	Q6_1__14	Q6_1__15	Q6_1__16	Q6_1__17	Q6_1__18	Q6_1__19	Q6_1__20	Q6_1__21	Q6_1__22	Q6_1__23	Q6_1__24	Q6_1__25	Q6_1__26	Q6_1__27	Q6_1__28	Q6_1__29	Q6_1__30	Q6_1__31	Q6_1__32	Q6_1__33	Q6_1__34	Q6_1__35	Q6_1__36	Q6_1__37	Q6_1__38	Q6_1__39	Q6_1__40	Q6_1__41	Q6_1__42	Q6_1__43	Q6_1__44	Q6_1__45	Q6_1__46	Q6_1__47	Q6_1__48	Q6_1__49	Q6_1__50	Q6_1__51	Q6_1__52	Q6_1__53	Q6_1__54	Q6_1__55	Q6_1__56	Q6_1__57	Q6_1__58	Q6_1__59	Q6_1__60	Q6_1__99	Q8_1b__1	Q8_1b__2	Q8_1b__3	Q8_1b__4	Q8_1b__5	Q8_1b__0
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	1	Yaal01	1						1		7.6		-999999999	7.6	1	1	0	0	0	0	0	0	0	0		4		-999999999	4		3.6		-999999999	3.6				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					0	1	0	0	0	0
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	2	Yaal02	1						2		3.4		-999999999	3.4	0	0	0	0	1	0	0	0	0	0				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999		3.4		-999999999	3.4				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																					0	1	0	0	0	0
97-94-78-51	ba68e7aba71e4817bf684ed94783eed7	1	þffggggg4	-999999999						-999999999	##N/A##			-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999				-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999	-999999999
